	hour_bin	count	votes_mean	votes_std
0	(0, 1]	10	622.3	232.48180335004471
1	(1, 2]	12	512.75	184.39489492045936
2	(2, 3]	3	373.3333333333333	25.166114784235827
3	(3, 4]	10	612.0	295.0578097782045
4	(4, 5]	16	791.125	675.6983424576384
5	(5, 6]	10	779.8	357.05953440723454
6	(6, 7]	726	703.1294765840221	436.0086646231753
7	(7, 8]	629	731.2257551669317	490.91406998851124
8	(8, 9]	104	623.0192307692307	379.15677984740944
9	(9, 10]	63	806.7619047619048	786.8401836805097
10	(10, 11]	40	623.9	303.38473500803786
11	(11, 12]	53	620.6415094339623	304.58339102778643
12	(12, 13]	48	593.2708333333334	272.39924856828685
13	(13, 14]	53	647.9433962264151	406.6456317376602
14	(14, 15]	33	641.5454545454545	390.03173676230267
15	(15, 16]	25	640.2	369.93389049035943
16	(16, 17]	31	669.3548387096774	509.7647528280142
17	(17, 18]	12	626.8333333333334	275.2631248074973
18	(18, 19]	14	740.6428571428571	476.60185078933984
19	(19, 20]	9	698.4444444444445	434.15754948840606
20	(20, 21]	15	679.9333333333333	299.9791580061776
21	(21, 22]	10	800.5	414.7685432195219
22	(22, 23]	7	654.2857142857143	217.22930609973284
